image_name,scene_type=natural_landscape,scene_type=urban,scene_type=indoor,scene_type=portrait,scene_type=other,lighting_type=daylight,lighting_type=artificial,lighting_type=mixed,luminance_level=high,luminance_level=medium,luminance_level=low,camera_to_object_distance=close,camera_to_object_distance=medium,camera_to_object_distance=far,memory_color=sky_blue,memory_color=grass_foliage_green,memory_color=human_skin_tone,memory_color=water_blue,memory_color=snow_cloud_white,memory_color=none
KonIQ-10k IQA Database/512x384/3761173384.jpg,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1
KonIQ-10k IQA Database/512x384/3761272199.jpg,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0
KonIQ-10k IQA Database/512x384/376684942.jpg,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1
KonIQ-10k IQA Database/512x384/3759763464.jpg,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
KonIQ-10k IQA Database/512x384/3764660296.jpg,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0
KonIQ-10k IQA Database/512x384/3761519418.jpg,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0
KonIQ-10k IQA Database/512x384/3766742048.jpg,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0
KonIQ-10k IQA Database/512x384/3767341492.jpg,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0
KonIQ-10k IQA Database/512x384/3767933394.jpg,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1
KonIQ-10k IQA Database/512x384/3768070080.jpg,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1
KonIQ-10k IQA Database/512x384/3773463532.jpg,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1
KonIQ-10k IQA Database/512x384/3775862144.jpg,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1
KonIQ-10k IQA Database/512x384/377273746.jpg,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1
KonIQ-10k IQA Database/512x384/3770559253.jpg,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1
KonIQ-10k IQA Database/512x384/3775591333.jpg,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
KonIQ-10k IQA Database/512x384/3776716867.jpg,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
KonIQ-10k IQA Database/512x384/3780702032.jpg,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0
KonIQ-10k IQA Database/512x384/3779249317.jpg,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0
KonIQ-10k IQA Database/512x384/3783245891.jpg,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0
KonIQ-10k IQA Database/512x384/3782183827.jpg,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0
KonIQ-10k IQA Database/512x384/3783312451.jpg,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0
KonIQ-10k IQA Database/512x384/3779311128.jpg,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0
KonIQ-10k IQA Database/512x384/3783568353.jpg,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1
KonIQ-10k IQA Database/512x384/3784715028.jpg,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0
KonIQ-10k IQA Database/512x384/378746968.jpg,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0
KonIQ-10k IQA Database/512x384/3787014324.jpg,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0
KonIQ-10k IQA Database/512x384/3788379941.jpg,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0
KonIQ-10k IQA Database/512x384/3789837472.jpg,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1
KonIQ-10k IQA Database/512x384/3785783338.jpg,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0
KonIQ-10k IQA Database/512x384/3787979013.jpg,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0
KonIQ-10k IQA Database/512x384/3788909806.jpg,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0
KonIQ-10k IQA Database/512x384/3792378354.jpg,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0
KonIQ-10k IQA Database/512x384/3792338234.jpg,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0
KonIQ-10k IQA Database/512x384/3794248989.jpg,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1
KonIQ-10k IQA Database/512x384/379437662.jpg,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
KonIQ-10k IQA Database/512x384/3791999774.jpg,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0
KonIQ-10k IQA Database/512x384/379323686.jpg,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0
KonIQ-10k IQA Database/512x384/379362291.jpg,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0
KonIQ-10k IQA Database/512x384/3794461596.jpg,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
KonIQ-10k IQA Database/512x384/3796455854.jpg,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
KonIQ-10k IQA Database/512x384/3800600451.jpg,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0
KonIQ-10k IQA Database/512x384/3800059044.jpg,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0
KonIQ-10k IQA Database/512x384/37951657.jpg,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0
KonIQ-10k IQA Database/512x384/3797715149.jpg,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1
KonIQ-10k IQA Database/512x384/3804031946.jpg,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0
KonIQ-10k IQA Database/512x384/3801275835.jpg,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0
KonIQ-10k IQA Database/512x384/3805107589.jpg,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0
KonIQ-10k IQA Database/512x384/38056572.jpg,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
KonIQ-10k IQA Database/512x384/3810011859.jpg,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1
KonIQ-10k IQA Database/512x384/3806051518.jpg,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0
KonIQ-10k IQA Database/512x384/3809644203.jpg,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0
KonIQ-10k IQA Database/512x384/381148704.jpg,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1
KonIQ-10k IQA Database/512x384/3812657000.jpg,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1
KonIQ-10k IQA Database/512x384/3812031514.jpg,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
KonIQ-10k IQA Database/512x384/3812865597.jpg,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0
KonIQ-10k IQA Database/512x384/3814668128.jpg,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
KonIQ-10k IQA Database/512x384/3812926720.jpg,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0
KonIQ-10k IQA Database/512x384/3815098207.jpg,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1
KonIQ-10k IQA Database/512x384/3815063597.jpg,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0
KonIQ-10k IQA Database/512x384/3817723435.jpg,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0
KonIQ-10k IQA Database/512x384/3816407980.jpg,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0
KonIQ-10k IQA Database/512x384/3818998606.jpg,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0
KonIQ-10k IQA Database/512x384/3821275434.jpg,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0
KonIQ-10k IQA Database/512x384/3817779484.jpg,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0
KonIQ-10k IQA Database/512x384/3822506826.jpg,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0
KonIQ-10k IQA Database/512x384/3820650799.jpg,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1
KonIQ-10k IQA Database/512x384/3824362477.jpg,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0
KonIQ-10k IQA Database/512x384/3824105113.jpg,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0
KonIQ-10k IQA Database/512x384/3824413541.jpg,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0
KonIQ-10k IQA Database/512x384/3822808828.jpg,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0
KonIQ-10k IQA Database/512x384/3824485636.jpg,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
KonIQ-10k IQA Database/512x384/3825250471.jpg,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0
KonIQ-10k IQA Database/512x384/3825365753.jpg,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
KonIQ-10k IQA Database/512x384/3826205454.jpg,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
KonIQ-10k IQA Database/512x384/3825304964.jpg,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1
KonIQ-10k IQA Database/512x384/3826585780.jpg,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1
KonIQ-10k IQA Database/512x384/3827560087.jpg,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1
KonIQ-10k IQA Database/512x384/382774042.jpg,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1
KonIQ-10k IQA Database/512x384/3825837186.jpg,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0
KonIQ-10k IQA Database/512x384/3827911032.jpg,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0
KonIQ-10k IQA Database/512x384/3827968988.jpg,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,1,0,0
KonIQ-10k IQA Database/512x384/3828155719.jpg,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1
KonIQ-10k IQA Database/512x384/3828472247.jpg,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
KonIQ-10k IQA Database/512x384/3829660645.jpg,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0
KonIQ-10k IQA Database/512x384/3840546727.jpg,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0
KonIQ-10k IQA Database/512x384/3841233055.jpg,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0
KonIQ-10k IQA Database/512x384/3835050024.jpg,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0
KonIQ-10k IQA Database/512x384/3839953318.jpg,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0
KonIQ-10k IQA Database/512x384/3841305755.jpg,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0
KonIQ-10k IQA Database/512x384/3840923045.jpg,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1
KonIQ-10k IQA Database/512x384/3838001890.jpg,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0
KonIQ-10k IQA Database/512x384/3841509426.jpg,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0
KonIQ-10k IQA Database/512x384/3843377036.jpg,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0
KonIQ-10k IQA Database/512x384/3843859642.jpg,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
KonIQ-10k IQA Database/512x384/3847022878.jpg,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0
KonIQ-10k IQA Database/512x384/3846071699.jpg,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0
KonIQ-10k IQA Database/512x384/3844930238.jpg,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0
KonIQ-10k IQA Database/512x384/3845656628.jpg,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1
KonIQ-10k IQA Database/512x384/384788069.jpg,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0
KonIQ-10k IQA Database/512x384/3847915749.jpg,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1
KonIQ-10k IQA Database/512x384/3846844854.jpg,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0
KonIQ-10k IQA Database/512x384/3847965007.jpg,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1
KonIQ-10k IQA Database/512x384/3850107264.jpg,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0
KonIQ-10k IQA Database/512x384/3850147128.jpg,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1
KonIQ-10k IQA Database/512x384/3848727332.jpg,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0
KonIQ-10k IQA Database/512x384/3848893941.jpg,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1
KonIQ-10k IQA Database/512x384/3850577376.jpg,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0
KonIQ-10k IQA Database/512x384/3851672801.jpg,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0
KonIQ-10k IQA Database/512x384/3851941327.jpg,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0
KonIQ-10k IQA Database/512x384/3855419676.jpg,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0
KonIQ-10k IQA Database/512x384/3856196713.jpg,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1
KonIQ-10k IQA Database/512x384/3853359984.jpg,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1
KonIQ-10k IQA Database/512x384/3856507445.jpg,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0
KonIQ-10k IQA Database/512x384/3854279335.jpg,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1
KonIQ-10k IQA Database/512x384/3856900502.jpg,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1
KonIQ-10k IQA Database/512x384/3860848792.jpg,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1
KonIQ-10k IQA Database/512x384/3861043546.jpg,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0
KonIQ-10k IQA Database/512x384/3860253466.jpg,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
KonIQ-10k IQA Database/512x384/3861673008.jpg,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
KonIQ-10k IQA Database/512x384/3866688343.jpg,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0
KonIQ-10k IQA Database/512x384/3864280906.jpg,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,1,1,1,0,0
KonIQ-10k IQA Database/512x384/3867441709.jpg,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0
KonIQ-10k IQA Database/512x384/386746008.jpg,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0
KonIQ-10k IQA Database/512x384/3867705645.jpg,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0
KonIQ-10k IQA Database/512x384/3867707916.jpg,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0
KonIQ-10k IQA Database/512x384/3870457394.jpg,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0
KonIQ-10k IQA Database/512x384/3872509611.jpg,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1
KonIQ-10k IQA Database/512x384/387003357.jpg,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1
KonIQ-10k IQA Database/512x384/3871801313.jpg,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0
KonIQ-10k IQA Database/512x384/3872832716.jpg,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0
KonIQ-10k IQA Database/512x384/387259022.jpg,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1
KonIQ-10k IQA Database/512x384/3872043875.jpg,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1,1,0,0
KonIQ-10k IQA Database/512x384/3870343367.jpg,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
KonIQ-10k IQA Database/512x384/3874298550.jpg,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0
KonIQ-10k IQA Database/512x384/3876341199.jpg,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0
KonIQ-10k IQA Database/512x384/3874382715.jpg,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0
KonIQ-10k IQA Database/512x384/3876523676.jpg,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0
KonIQ-10k IQA Database/512x384/3879362113.jpg,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0
KonIQ-10k IQA Database/512x384/3880140639.jpg,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0
KonIQ-10k IQA Database/512x384/3880718005.jpg,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1
KonIQ-10k IQA Database/512x384/3881103730.jpg,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1
KonIQ-10k IQA Database/512x384/3885568060.jpg,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1
KonIQ-10k IQA Database/512x384/3886718406.jpg,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0
KonIQ-10k IQA Database/512x384/3886483510.jpg,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0
KonIQ-10k IQA Database/512x384/3886757277.jpg,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0
KonIQ-10k IQA Database/512x384/3886880606.jpg,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1
KonIQ-10k IQA Database/512x384/3888454309.jpg,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1
KonIQ-10k IQA Database/512x384/3890421755.jpg,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0
KonIQ-10k IQA Database/512x384/3891717415.jpg,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0
KonIQ-10k IQA Database/512x384/389395842.jpg,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1
KonIQ-10k IQA Database/512x384/3894915205.jpg,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0
KonIQ-10k IQA Database/512x384/3892332557.jpg,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
KonIQ-10k IQA Database/512x384/3890811565.jpg,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0
KonIQ-10k IQA Database/512x384/3895433023.jpg,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0
KonIQ-10k IQA Database/512x384/3892086124.jpg,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
KonIQ-10k IQA Database/512x384/3895663827.jpg,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
KonIQ-10k IQA Database/512x384/3896434582.jpg,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0
KonIQ-10k IQA Database/512x384/3900873243.jpg,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1
KonIQ-10k IQA Database/512x384/3902626347.jpg,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0
KonIQ-10k IQA Database/512x384/390226070.jpg,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1
KonIQ-10k IQA Database/512x384/3903483278.jpg,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1
KonIQ-10k IQA Database/512x384/3900966844.jpg,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0
KonIQ-10k IQA Database/512x384/3898078585.jpg,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
KonIQ-10k IQA Database/512x384/3908700784.jpg,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
KonIQ-10k IQA Database/512x384/3905518312.jpg,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0
KonIQ-10k IQA Database/512x384/3913177014.jpg,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0
KonIQ-10k IQA Database/512x384/3908866899.jpg,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
KonIQ-10k IQA Database/512x384/3904942577.jpg,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
KonIQ-10k IQA Database/512x384/3910973897.jpg,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0
KonIQ-10k IQA Database/512x384/39140730.jpg,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0
KonIQ-10k IQA Database/512x384/3910222592.jpg,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0
KonIQ-10k IQA Database/512x384/3908763168.jpg,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,1,0,0
KonIQ-10k IQA Database/512x384/391573160.jpg,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0
KonIQ-10k IQA Database/512x384/3913188131.jpg,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0
KonIQ-10k IQA Database/512x384/3916048282.jpg,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,1,1,0,0,0
KonIQ-10k IQA Database/512x384/3916222248.jpg,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0
KonIQ-10k IQA Database/512x384/3916637949.jpg,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1
KonIQ-10k IQA Database/512x384/39160482821.jpg,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,1,1,0,0,0
KonIQ-10k IQA Database/512x384/3916850615.jpg,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0
KonIQ-10k IQA Database/512x384/3916243478.jpg,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0
KonIQ-10k IQA Database/512x384/3917849504.jpg,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0
KonIQ-10k IQA Database/512x384/3916915691.jpg,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0
KonIQ-10k IQA Database/512x384/3918280584.jpg,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0
KonIQ-10k IQA Database/512x384/3918062562.jpg,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0
KonIQ-10k IQA Database/512x384/3918838221.jpg,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1
KonIQ-10k IQA Database/512x384/3919380535.jpg,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0
KonIQ-10k IQA Database/512x384/3921589638.jpg,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
KonIQ-10k IQA Database/512x384/392103652.jpg,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0
KonIQ-10k IQA Database/512x384/3922421993.jpg,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0
KonIQ-10k IQA Database/512x384/392179845.jpg,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1
KonIQ-10k IQA Database/512x384/3923233289.jpg,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0
KonIQ-10k IQA Database/512x384/3923541475.jpg,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1
KonIQ-10k IQA Database/512x384/3927444590.jpg,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
KonIQ-10k IQA Database/512x384/3927881802.jpg,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0
KonIQ-10k IQA Database/512x384/3928559890.jpg,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
KonIQ-10k IQA Database/512x384/3925412649.jpg,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1
KonIQ-10k IQA Database/512x384/392558137.jpg,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1
KonIQ-10k IQA Database/512x384/3932630945.jpg,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0
KonIQ-10k IQA Database/512x384/3930941584.jpg,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0
KonIQ-10k IQA Database/512x384/3932785686.jpg,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0
KonIQ-10k IQA Database/512x384/3931210821.jpg,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0
KonIQ-10k IQA Database/512x384/3934165977.jpg,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1
KonIQ-10k IQA Database/512x384/3932684731.jpg,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1
KonIQ-10k IQA Database/512x384/3934995195.jpg,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0
KonIQ-10k IQA Database/512x384/3934821151.jpg,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0
KonIQ-10k IQA Database/512x384/3935177366.jpg,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1
