image_path,skin_types
E:\Database\IQA\CID2013\IS5\co5\IS_V_C05_D12.jpg,"[""light""]"
E:\Database\IQA\CID2013\IS5\co8\IS_V_C08_D01.jpg,"[""light""]"
E:\Database\IQA\CID2013\IS5\co8\IS_V_C08_D04.jpg,"[""light""]"
E:\Database\IQA\CID2013\IS5\co8\IS_V_C08_D03.jpg,"[""light""]"
E:\Database\IQA\CID2013\IS5\co8\IS_V_C08_D07.jpg,"[""light""]"
E:\Database\IQA\CID2013\IS5\co8\IS_V_C08_D06.jpg,"[""light""]"
E:\Database\IQA\CID2013\IS5\co8\IS_V_C08_D05.jpg,uncertain
E:\Database\IQA\CID2013\IS5\co8\IS_V_C08_D10.jpg,"[""light""]"
E:\Database\IQA\CID2013\IS5\co8\IS_V_C08_D02.jpg,"[""light""]"
E:\Database\IQA\CID2013\IS5\co8\IS_V_C08_D09.jpg,"[""light""]"
E:\Database\IQA\CID2013\IS5\co8\IS_V_C08_D11.jpg,"[""light""]"
E:\Database\IQA\CID2013\IS5\co8\IS_V_C08_D12.jpg,uncertain
E:\Database\IQA\CID2013\IS6\co1\IS_VI_C01_D01.jpg,uncertain
E:\Database\IQA\CID2013\IS6\co1\IS_VI_C01_D03.jpg,uncertain
E:\Database\IQA\CID2013\IS6\co1\IS_VI_C01_D02.jpg,"[""light""]"
E:\Database\IQA\CID2013\IS6\co1\IS_VI_C01_D06.jpg,"[""light""]"
E:\Database\IQA\CID2013\IS6\co1\IS_VI_C01_D05.jpg,"[""light""]"
E:\Database\IQA\CID2013\IS6\co1\IS_VI_C01_D04.jpg,"[""light""]"
E:\Database\IQA\CID2013\IS6\co1\IS_VI_C01_D07.jpg,"[""light""]"
E:\Database\IQA\CID2013\IS6\co1\IS_VI_C01_D08.jpg,"[""light""]"
E:\Database\IQA\CID2013\IS6\co1\IS_VI_C01_D10.jpg,"[""light""]"
E:\Database\IQA\CID2013\IS6\co1\IS_VI_C01_D09.jpg,"[""light""]"
E:\Database\IQA\CID2013\IS6\co1\IS_VI_C01_D11.jpg,"[""light""]"
E:\Database\IQA\CID2013\IS6\co1\IS_VI_C01_D12.jpg,"[""light""]"
E:\Database\IQA\CID2013\IS6\co2\IS_VI_C02_D01.jpg,"[""light""]"
E:\Database\IQA\CID2013\IS6\co2\IS_VI_C02_D02.jpg,"[""light""]"
E:\Database\IQA\CID2013\IS6\co1\IS_VI_C01_D13.jpg,"[""light""]"
E:\Database\IQA\CID2013\IS6\co2\IS_VI_C02_D03.jpg,"[""light""]"
E:\Database\IQA\CID2013\IS6\co2\IS_VI_C02_D04.jpg,"[""light""]"
E:\Database\IQA\CID2013\IS6\co2\IS_VI_C02_D05.jpg,"[""light""]"
E:\Database\IQA\CID2013\IS6\co2\IS_VI_C02_D06.jpg,"[""light""]"
E:\Database\IQA\CID2013\IS6\co2\IS_VI_C02_D07.jpg,"[""light""]"
E:\Database\IQA\CID2013\IS6\co2\IS_VI_C02_D08.jpg,"[""light""]"
E:\Database\IQA\CID2013\IS6\co2\IS_VI_C02_D10.jpg,"[""light""]"
E:\Database\IQA\CID2013\IS6\co2\IS_VI_C02_D09.jpg,"[""light""]"
E:\Database\IQA\CID2013\IS6\co2\IS_VI_C02_D11.jpg,"[""light""]"
E:\Database\IQA\CID2013\IS6\co2\IS_VI_C02_D13.jpg,"[""light""]"
E:\Database\IQA\CID2013\IS6\co2\IS_VI_C02_D12.jpg,"[""light""]"
E:\Database\IQA\CID2013\IS6\co3\IS_VI_C03_D01.jpg,"[""light""]"
E:\Database\IQA\CID2013\IS6\co3\IS_VI_C03_D03.jpg,uncertain
E:\Database\IQA\CID2013\IS6\co3\IS_VI_C03_D02.jpg,"[""light""]"
E:\Database\IQA\CID2013\IS6\co3\IS_VI_C03_D04.jpg,"[""light""]"
E:\Database\IQA\CID2013\IS6\co2\IS_VI_C02_D14.jpg,"[""light""]"
E:\Database\IQA\CID2013\IS6\co3\IS_VI_C03_D05.jpg,"[""light""]"
E:\Database\IQA\CID2013\IS6\co3\IS_VI_C03_D08.jpg,"[""light""]"
E:\Database\IQA\CID2013\IS6\co3\IS_VI_C03_D06.jpg,"[""light""]"
E:\Database\IQA\CID2013\IS6\co3\IS_VI_C03_D07.jpg,"[""light""]"
E:\Database\IQA\CID2013\IS6\co3\IS_VI_C03_D10.jpg,"[""light""]"
E:\Database\IQA\CID2013\IS6\co3\IS_VI_C03_D09.jpg,"[""light""]"
E:\Database\IQA\CID2013\IS6\co3\IS_VI_C03_D12.jpg,"[""light""]"
E:\Database\IQA\CID2013\IS6\co3\IS_VI_C03_D14.jpg,uncertain
E:\Database\IQA\CID2013\IS6\co3\IS_VI_C03_D11.jpg,"[""light""]"
E:\Database\IQA\CID2013\IS6\co3\IS_VI_C03_D13.jpg,"[""light""]"
E:\Database\IQA\CID2013\IS6\co7\IS_VI_C07_D02.jpg,"[""light""]"
E:\Database\IQA\CID2013\IS6\co7\IS_VI_C07_D04.jpg,"[""light""]"
E:\Database\IQA\CID2013\IS6\co7\IS_VI_C07_D03.jpg,"[""light""]"
E:\Database\IQA\CID2013\IS6\co7\IS_VI_C07_D05.jpg,"[""light""]"
E:\Database\IQA\CID2013\IS6\co7\IS_VI_C07_D01.jpg,"[""light""]"
E:\Database\IQA\CID2013\IS6\co7\IS_VI_C07_D06.jpg,"[""light""]"
E:\Database\IQA\CID2013\IS6\co7\IS_VI_C07_D07.jpg,"[""light""]"
E:\Database\IQA\CID2013\IS6\co7\IS_VI_C07_D08.jpg,"[""light""]"
E:\Database\IQA\CID2013\IS6\co7\IS_VI_C07_D09.jpg,"[""light""]"
E:\Database\IQA\CID2013\IS6\co7\IS_VI_C07_D12.jpg,"[""light""]"
E:\Database\IQA\CID2013\IS6\co7\IS_VI_C07_D10.jpg,"[""light""]"
E:\Database\IQA\CID2013\IS6\co7\IS_VI_C07_D11.jpg,"[""light""]"
E:\Database\IQA\CID2013\IS6\co7\IS_VI_C07_D13.jpg,"[""light""]"
E:\Database\IQA\CID2013\IS6\co7\IS_VI_C07_D14.jpg,"[""light""]"
E:\Database\IQA\CID2013\IS6\co8\IS_VI_C08_D02.jpg,"[""light""]"
E:\Database\IQA\CID2013\IS6\co8\IS_VI_C08_D03.jpg,"[""light""]"
E:\Database\IQA\CID2013\IS6\co8\IS_VI_C08_D05.jpg,"[""light""]"
E:\Database\IQA\CID2013\IS6\co8\IS_VI_C08_D01.jpg,"[""light""]"
E:\Database\IQA\CID2013\IS6\co8\IS_VI_C08_D04.jpg,"[""light""]"
E:\Database\IQA\CID2013\IS6\co8\IS_VI_C08_D06.jpg,"[""light""]"
E:\Database\IQA\CID2013\IS6\co8\IS_VI_C08_D07.jpg,"[""light""]"
E:\Database\IQA\CID2013\IS6\co8\IS_VI_C08_D08.jpg,"[""light""]"
E:\Database\IQA\CID2013\IS6\co8\IS_VI_C08_D12.jpg,"[""light""]"
E:\Database\IQA\CID2013\IS6\co8\IS_VI_C08_D10.jpg,"[""light""]"
E:\Database\IQA\CID2013\IS6\co8\IS_VI_C08_D09.jpg,"[""light""]"
E:\Database\IQA\CID2013\IS6\co8\IS_VI_C08_D14.jpg,"[""light""]"
E:\Database\IQA\CID2013\IS6\co8\IS_VI_C08_D11.jpg,"[""light""]"
E:\Database\IQA\CID2013\IS6\co8\IS_VI_C08_D13.jpg,"[""light""]"
